"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"09-SEP-2024","KAMDHENU","Kamdhenu Ispat Limited","GRAVITON RESEARCH CAPITAL LLP","SELL","1,44,120","630.50","-"
"09-SEP-2024","KAMOPAINTS","Kamdhenu Ventures Limited","HRTI PRIVATE LIMITED","SELL","15,04,276","48.21","-"
"09-SEP-2024","KAMOPAINTS","Kamdhenu Ventures Limited","HRTI PRIVATE LIMITED","BUY","16,48,085","48.19","-"
"09-SEP-2024","KAMOPAINTS","Kamdhenu Ventures Limited","SKSE SECURITIES LTD","SELL","32,57,737","48.16","-"
"09-SEP-2024","KAMOPAINTS","Kamdhenu Ventures Limited","SKSE SECURITIES LTD","BUY","32,57,737","48.12","-"
"09-SEP-2024","KOPRAN","Kopran Ltd.","GRAVITON RESEARCH CAPITAL LLP","SELL","3,91,176","352.61","-"
"09-SEP-2024","KOPRAN","Kopran Ltd.","GRAVITON RESEARCH CAPITAL LLP","BUY","3,91,176","352.98","-"
"09-SEP-2024","KOPRAN","Kopran Ltd.","HRTI PRIVATE LIMITED","BUY","3,90,754","352.58","-"
"09-SEP-2024","KOPRAN","Kopran Ltd.","HRTI PRIVATE LIMITED","SELL","4,34,240","351.97","-"
"09-SEP-2024","KOPRAN","Kopran Ltd.","SUNFLOWER BROKING PRIVATE LIMITED","BUY","2,66,943","358.87","-"
"09-SEP-2024","KOPRAN","Kopran Ltd.","SUNFLOWER BROKING PRIVATE LIMITED","SELL","2,86,475","353.89","-"
"09-SEP-2024","KRONOX","Kronox Lab Sciences Ltd","CHANAKYA OPPORTUNITIES FUND I","SELL","2,75,000","175.85","-"
"09-SEP-2024","KRONOX","Kronox Lab Sciences Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","2,34,743","178.21","-"
"09-SEP-2024","KRONOX","Kronox Lab Sciences Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","2,34,743","178.77","-"
"09-SEP-2024","LAXMICOT","Laxmi Cotspin Limited","MITTAL RIMPY","SELL","1,32,447","38.68","-"
"09-SEP-2024","LAXMICOT","Laxmi Cotspin Limited","MITTAL RIMPY","BUY","1,32,447","38.70","-"
"09-SEP-2024","LAXMICOT","Laxmi Cotspin Limited","URVI TEJAS THAKKAR","SELL","90,606","38.93","-"
"09-SEP-2024","MOREPENLAB","Morepan Laboratories Ltd.","HRTI PRIVATE LIMITED","BUY","41,19,356","91.94","-"
"09-SEP-2024","MOREPENLAB","Morepan Laboratories Ltd.","HRTI PRIVATE LIMITED","SELL","49,59,716","92.71","-"
"09-SEP-2024","MOTISONS","Motisons Jewellers Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","8,85,999","212.16","-"
"09-SEP-2024","MOTISONS","Motisons Jewellers Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","8,85,999","212.27","-"
"09-SEP-2024","MOTISONS","Motisons Jewellers Ltd","HRTI PRIVATE LIMITED","SELL","7,42,465","212.13","-"
"09-SEP-2024","MOTISONS","Motisons Jewellers Ltd","HRTI PRIVATE LIMITED","BUY","7,79,473","213.22","-"
"09-SEP-2024","MOTISONS","Motisons Jewellers Ltd","VINOD DUGAR","BUY","5,00,000","216.41","-"
"09-SEP-2024","MRO-TEK","MRO-TEK Realty Ltd","JITENDRA MOHANDAS VIRWANI","SELL","97,445","113.42","-"
"09-SEP-2024","MVGJL","Manoj Vaibhav Gem N Jew L","GRAVITON RESEARCH CAPITAL LLP","SELL","3,17,530","272.88","-"
"09-SEP-2024","MVGJL","Manoj Vaibhav Gem N Jew L","GRAVITON RESEARCH CAPITAL LLP","BUY","3,17,530","272.50","-"
"09-SEP-2024","NDL","Nandan Denim Limited","GRAVITON RESEARCH CAPITAL LLP","BUY","11,78,565","61.71","-"
"09-SEP-2024","NDL","Nandan Denim Limited","GRAVITON RESEARCH CAPITAL LLP","SELL","11,78,565","61.76","-"
"09-SEP-2024","NDL","Nandan Denim Limited","HRTI PRIVATE LIMITED","BUY","12,63,403","62.06","-"
"09-SEP-2024","NDL","Nandan Denim Limited","HRTI PRIVATE LIMITED","SELL","13,01,699","62.16","-"
"09-SEP-2024","NDL","Nandan Denim Limited","MANSI SHARE AND STOCK ADVISORS PVT LTD","SELL","9,25,201","62.57","-"
"09-SEP-2024","NDL","Nandan Denim Limited","MANSI SHARE AND STOCK ADVISORS PVT LTD","BUY","15,25,174","63.40","-"
"09-SEP-2024","NDL","Nandan Denim Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","8,00,659","62.57","-"
"09-SEP-2024","NDL","Nandan Denim Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","8,00,659","62.52","-"
"09-SEP-2024","NDL","Nandan Denim Limited","QE SECURITIES LLP","SELL","10,47,074","62.23","-"
"09-SEP-2024","NDL","Nandan Denim Limited","QE SECURITIES LLP","BUY","10,63,108","62.30","-"
"09-SEP-2024","NDL","Nandan Denim Limited","SAROJ GUPTA","SELL","9,90,256","63.14","-"
"09-SEP-2024","NDL","Nandan Denim Limited","SAROJ GUPTA","BUY","9,90,256","61.54","-"
"09-SEP-2024","NDL","Nandan Denim Limited","SAUMIK KETAN DOSHI","SELL","12,03,275","63.99","-"
"09-SEP-2024","NDL","Nandan Denim Limited","SAUMIK KETAN DOSHI","BUY","21,87,819","63.11","-"
"09-SEP-2024","NIRMAN","Nirman Agri Gentics Ltd","MAHAMMADFARUK HAJIBHAI MIR","SELL","63,600","392.77","-"
"09-SEP-2024","NIRMAN","Nirman Agri Gentics Ltd","MAHAMMADFARUK HAJIBHAI MIR","BUY","69,600","392.88","-"
"09-SEP-2024","ORTINGLOBE","ORTIN GLOBAL LIMITED","MOTILAL PREETHI JAIN","SELL","67,878","21.32","-"
"09-SEP-2024","PARAMATRIX","Paramatrix Technologies L","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","SELL","1,36,800","114.85","-"
"09-SEP-2024","PARAMATRIX","Paramatrix Technologies L","SACHIN OMPRAKASH AGARWAL","BUY","1,00,800","114.85","-"
"09-SEP-2024","PARAMATRIX","Paramatrix Technologies L","SVCM SECURITIES PRIVATE LIMITED","SELL","1,00,800","114.85","-"
"09-SEP-2024","PARAMATRIX","Paramatrix Technologies L","VIRTUOUS CAPITAL LIMITED","BUY","1,75,200","114.85","-"
"09-SEP-2024","RAMASTEEL","Rama Steel Tubes Limited","HRTI PRIVATE LIMITED","BUY","1,46,27,086","15.45","-"
"09-SEP-2024","RAMASTEEL","Rama Steel Tubes Limited","HRTI PRIVATE LIMITED","SELL","2,37,82,836","15.34","-"
"09-SEP-2024","RAMASTEEL","Rama Steel Tubes Limited","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","SELL","1,88,44,724","14.97","-"
"09-SEP-2024","RAMASTEEL","Rama Steel Tubes Limited","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","BUY","1,92,33,007","14.86","-"
"09-SEP-2024","RAMASTEEL","Rama Steel Tubes Limited","SAHASTRAA ADVISORS PRIVATE LIMITED","BUY","52,15,645","15.04","-"
"09-SEP-2024","RAMASTEEL","Rama Steel Tubes Limited","SAHASTRAA ADVISORS PRIVATE LIMITED","SELL","78,65,645","15.74","-"
"09-SEP-2024","RGL","Renaissance Global Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","6,03,234","126.57","-"
"09-SEP-2024","RGL","Renaissance Global Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","6,03,234","126.71","-"
"09-SEP-2024","SABAR","Sabar Flex India Limited","HI GROWTH CORPORATE SERVICES PVT LTD","SELL","1,15,000","21.19","-"
"09-SEP-2024","SABAR","Sabar Flex India Limited","HI GROWTH CORPORATE SERVICES PVT LTD","BUY","2,05,000","20.88","-"
"09-SEP-2024","SABAR","Sabar Flex India Limited","SOMANI VENTURES AND INNOVATIONS LIMITED","SELL","2,50,000","21.00","-"
"09-SEP-2024","SARTELE","Sar Televenture Limited","AVNI ARJUN CHOWGULE","SELL","4,13,500","385.00","-"
"09-SEP-2024","SARTELE","Sar Televenture Limited","MONA  KATARIA","BUY","2,06,000","385.00","-"
"09-SEP-2024","SARTELE","Sar Televenture Limited","VIKAS   KATARIA","BUY","2,05,500","385.00","-"
"09-SEP-2024","SGIL","Synergy Green Ind. Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","1,20,660","465.16","-"
"09-SEP-2024","SGIL","Synergy Green Ind. Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","1,20,660","465.60","-"
"09-SEP-2024","SIKKO","Sikko Industries Limited","ZETA GLOBAL FUNDS (OEIC) PCC LIMITED - ZETA SERIES C FUND PC","BUY","1,00,000","99.52","-"
"09-SEP-2024","STYLEBAAZA","Baazar Style Retail Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","5,04,006","385.20","-"
"09-SEP-2024","STYLEBAAZA","Baazar Style Retail Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","5,04,006","384.94","-"
"09-SEP-2024","SYNCOMF","Syncom Formu (I) Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","71,06,640","24.86","-"
"09-SEP-2024","SYNCOMF","Syncom Formu (I) Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","71,06,640","24.91","-"
"09-SEP-2024","SYNCOMF","Syncom Formu (I) Ltd","HRTI PRIVATE LIMITED","SELL","81,50,466","25.14","-"
"09-SEP-2024","SYNCOMF","Syncom Formu (I) Ltd","HRTI PRIVATE LIMITED","BUY","85,36,197","25.26","-"
"09-SEP-2024","TBZ","Trib Bhimji Zaveri Ltd","AAKRAYA RESEARCH LLP","SELL","4,04,437","260.20","-"
"09-SEP-2024","TBZ","Trib Bhimji Zaveri Ltd","AAKRAYA RESEARCH LLP","BUY","4,04,437","260.28","-"
"09-SEP-2024","TBZ","Trib Bhimji Zaveri Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","4,75,802","256.32","-"
"09-SEP-2024","TBZ","Trib Bhimji Zaveri Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","4,75,802","256.36","-"
"09-SEP-2024","TBZ","Trib Bhimji Zaveri Ltd","HRTI PRIVATE LIMITED","BUY","5,10,430","260.51","-"
"09-SEP-2024","TBZ","Trib Bhimji Zaveri Ltd","HRTI PRIVATE LIMITED","SELL","5,13,513","260.05","-"
"09-SEP-2024","TIMESCAN","Timescan Logistics Ind L","REVATI HOLDINGS PRIVATE LIMITED","SELL","40,000","80.45","-"
"09-SEP-2024","UNIECOM","Unicommerce Esolutions L","BNP PARIBAS FINANCIAL MARKETS","BUY","5,69,776","203.81","-"
"09-SEP-2024","UNIECOM","Unicommerce Esolutions L","GRAVITON RESEARCH CAPITAL LLP","SELL","7,71,199","203.82","-"
"09-SEP-2024","UNIECOM","Unicommerce Esolutions L","GRAVITON RESEARCH CAPITAL LLP","BUY","7,71,199","203.92","-"
"09-SEP-2024","UNIECOM","Unicommerce Esolutions L","PRRSAAR COMMODITIES PVT LTD","SELL","6,60,001","194.53","-"
"09-SEP-2024","UNIECOM","Unicommerce Esolutions L","PRRSAAR COMMODITIES PVT LTD","BUY","6,60,451","195.54","-"
"09-SEP-2024","VIPULLTD","Vipul Limited","MANSI SHARE AND STOCK ADVISORS PVT LTD","SELL","19,00,000","34.50","-"
"09-SEP-2024","VIPULLTD","Vipul Limited","MONEYPLANT GOLD & JEWELLERY TRADING L.L.C","BUY","12,00,000","34.50","-"
"09-SEP-2024","VIPULLTD","Vipul Limited","PUNIT BERIWALA HUF","SELL","15,00,000","34.50","-"
"09-SEP-2024","VIPULLTD","Vipul Limited","SETU SECURITIES PRIVATE LIMITED","BUY","19,00,000","34.50","-"
"09-SEP-2024","VLEGOV","VL E Gov and IT Sol Ltd","DINESH BIRDILAL NANDWANA","SELL","10,00,000","123.50","-"
"09-SEP-2024","VSTIND","VST Industries Ltd.","DAMANI RADHAKISHAN","SELL","1,73,316","442.98","-"
"09-SEP-2024","VSTIND","VST Industries Ltd.","GRAVITON RESEARCH CAPITAL LLP","SELL","2,82,534","453.11","-"
"09-SEP-2024","VSTIND","VST Industries Ltd.","GRAVITON RESEARCH CAPITAL LLP","BUY","2,82,534","452.42","-"
"09-SEP-2024","VSTIND","VST Industries Ltd.","HRTI PRIVATE LIMITED","SELL","94,533","451.61","-"
"09-SEP-2024","VSTIND","VST Industries Ltd.","HRTI PRIVATE LIMITED","BUY","1,08,813","449.93","-"
"09-SEP-2024","VSTIND","VST Industries Ltd.","MADHURI GUDIPATI","BUY","84,483","455.45","-"
"09-SEP-2024","VSTIND","VST Industries Ltd.","MADHURI GUDIPATI","SELL","84,483","449.60","-"
"09-SEP-2024","VSTIND","VST Industries Ltd.","QE SECURITIES LLP","BUY","90,689","449.91","-"
"09-SEP-2024","VSTIND","VST Industries Ltd.","QE SECURITIES LLP","SELL","91,179","452.86","-"
"10-SEP-2024","ACSAL","Arvind and Company","KAVITA DEVI","SELL","96,000","85.40","-"
"10-SEP-2024","AERON","Aeron Composite Limited","MANSI SHARE AND STOCK ADVISORS PVT LTD","BUY","1,60,000","156.45","-"
"10-SEP-2024","AERON","Aeron Composite Limited","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","BUY","39,000","156.47","-"
